userId,itemId,rating,timestamp
1,30469388,2.5,1260759144
1,30378449,3.0,1260759179
1,9241825,3.0,1260759182
1,262191,2.0,1260759185
1,10373202,4.0,1260759205
1,50507087,2.0,1260759151
1,80268877,2.0,1260759187
1,40387127,2.0,1260759148
1,40262194,3.5,1260759125
1,39407174,2.0,1260759131
1,90473561,2.5,1260759135
1,511572,1.0,1260759203
1,90501776,4.0,1260759191
1,79431921,4.0,1260759139
1,10456669,3.0,1260759194
1,69417633,2.0,1260759198
1,90500437,2.0,1260759108
1,60501023,2.5,1260759113
1,20507809,1.0,1260759200
1,20396689,3.0,1260759117
2,70515053,4.0,835355493
2,89269735,5.0,835355681
2,40358021,5.0,835355604
2,10421533,4.0,835355552
2,80496172,4.0,835355586
2,70503743,3.0,835356031
2,50515068,3.0,835355749
2,10503010,4.0,835355532
2,20427327,3.0,835356016
2,99416972,5.0,835355395
2,90286772,4.0,835355441
2,30473559,3.0,835355493
2,60456544,3.0,835355441
2,39417583,3.0,835355710
2,406298,3.0,835355511
2,40179835,3.0,835355664
2,20297849,3.0,835355511
2,406298,5.0,835355840
2,90354271,1.0,835355749
2,30300417,3.0,835355552
2,80485847,3.0,835355664
2,70501169,3.0,835355896
2,59392586,4.0,835355511
2,99432043,4.0,835355681
2,343630,5.0,835355697
2,20297694,5.0,835355586
2,9385692,3.0,835355767
2,50495249,4.0,835355779
2,50360231,3.0,835355492
2,70499963,4.0,835355395
2,80459122,3.0,835355532
2,60365742,4.0,835356044
2,80513628,2.0,835355551
2,39417253,1.0,835355918
2,20479199,3.0,835355492
2,60175214,4.0,835355441
2,40501161,4.0,835355697
2,20513928,3.0,835355628
2,9387276,3.0,835355749
2,10365773,3.0,835355604
2,19387266,3.0,835355619
2,19417635,2.0,835355932
2,89031814,3.0,835355968
2,59417394,3.0,835356094
2,59416356,3.0,835355710
2,20446830,3.0,835356165
2,50460834,2.0,835356246
2,426668,3.0,835355532
2,40495396,4.0,835355604
2,30425281,3.0,835355511
2,20518681,4.0,835355790
2,90230898,2.0,835355828
2,70399299,4.0,835355643
2,70464015,3.0,835355918
2,413798,3.0,835355880
2,80425274,4.0,835355731
2,80365741,4.0,835355860
2,99417325,4.0,835355719
2,20396689,4.0,835355817
2,89417104,4.0,835355731
2,9241825,4.0,835356199
2,9417264,3.0,835355767
2,39416753,3.0,835356109
2,60447248,5.0,835355767
2,10427295,3.0,835355860
2,79416987,5.0,835355817
2,10238266,3.0,835355790
2,40365781,3.0,835355779
2,99275750,3.0,835355441
2,99864522,5.0,835355697
